id,age,gender,province,population_group,monthly_income,education_level,employment_status,main_income_source,uses_bank_account,withdrawal_frequency,withdrawal_percentage,preferred_withdrawal_channel,reason_for_cash_use
6010,26,Female,Gauteng,Black African,11340.0,Primary,Employed,Salary,Yes,Weekly,42,ATM,Personal preference
6011,50,Female,Gauteng,Black African,2700.0,Secondary,Employed,Salary,Yes,Weekly,83,ATM,Personal preference
6012,25,Female,Western Cape,Black African,5790.0,Secondary,Employed,Salary,Yes,Monthly,67,ATM,Personal preference
6013,20,Female,Eastern Cape,Black African,2440.0,Primary,Unemployed,Other,No,Less often,100,None,No bank account
6014,44,Male,Western Cape,Black African,4550.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6015,48,Female,Mpumalanga,Black African,7930.0,Secondary,Employed,Salary,Yes,Weekly,74,ATM,Other
6016,49,Female,KwaZulu-Natal,Indian/Asian,7900.0,Secondary,Employed,Salary,Yes,Weekly,11,ATM,Personal preference
6017,28,Female,KwaZulu-Natal,Black African,9150.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6018,49,Male,Gauteng,Black African,20760.0,Secondary,Employed,Salary,Yes,Weekly,58,Retail store,Too little money
6019,18,Male,Gauteng,Black African,4430.0,Primary,Employed,Salary,Yes,Weekly,75,ATM,Personal preference
6020,42,Female,Gauteng,Black African,1950.0,Secondary,Unemployed,Grants,Yes,Monthly,72,ATM,Personal preference
6021,28,Male,KwaZulu-Natal,Black African,8230.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6022,50,Female,Gauteng,Coloured,6930.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6023,23,Female,Western Cape,Black African,4110.0,No formal education,Employed,Salary,Yes,Less often,88,Retail store,Privacy
6024,51,Female,Limpopo,Black African,1520.0,Primary,Self-employed,Remittances,No,Less often,100,None,No bank account
6025,21,Male,Gauteng,Black African,6210.0,Secondary,Employed,Salary,Yes,Less often,30,ATM,Personal preference
6026,37,Male,Gauteng,Coloured,4360.0,Primary,Employed,Salary,Yes,Weekly,86,ATM,Too little money
6027,33,Female,Western Cape,Black African,5820.0,Secondary,Employed,Salary,Yes,Monthly,86,ATM,Personal preference
6028,40,Male,KwaZulu-Natal,Black African,2920.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6029,37,Female,KwaZulu-Natal,Black African,6820.0,Secondary,Unemployed,Remittances,No,Less often,100,None,No bank account
6030,44,Male,Mpumalanga,Black African,2990.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
6031,25,Male,Gauteng,Black African,820.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
6032,22,Male,KwaZulu-Natal,Black African,4810.0,Secondary,Employed,Salary,Yes,Daily,79,ATM,Personal preference
6033,47,Female,Gauteng,Black African,1640.0,Primary,Employed,Salary,Yes,Weekly,81,Retail store,Too little money
6034,37,Male,North West,White,134860.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
6035,18,Male,Western Cape,Black African,6500.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
6036,38,Female,Eastern Cape,Black African,1160.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6037,42,Female,Limpopo,Black African,4310.0,Secondary,Employed,Salary,Yes,Weekly,67,ATM,Too little money
6038,53,Female,Gauteng,Black African,7320.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6039,38,Male,Gauteng,Black African,4600.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6040,36,Female,North West,Black African,2950.0,No formal education,Self-employed,Grants,No,Less often,100,None,No bank account
6041,33,Other,Mpumalanga,Black African,2190.0,Secondary,Self-employed,Salary,Yes,Monthly,65,ATM,Too little money
6042,38,Female,Western Cape,White,7440.0,Primary,Employed,Salary,Yes,Daily,76,Retail store,Personal preference
6043,36,Female,Limpopo,Black African,490.0,Primary,Employed,Salary,Yes,Weekly,87,ATM,Personal preference
6044,44,Female,North West,Black African,2880.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
6045,38,Female,KwaZulu-Natal,Black African,4690.0,Secondary,Unemployed,Grants,Yes,Weekly,81,Retail store,Too little money
6046,39,Male,Eastern Cape,Black African,3230.0,Primary,Employed,Salary,Yes,Monthly,74,Retail store,Too little money
6047,34,Female,Gauteng,Black African,6670.0,Secondary,Employed,Salary,Yes,Less often,72,ATM,Personal preference
6048,33,Female,Limpopo,Black African,3420.0,Primary,Unemployed,Grants,Yes,Less often,87,ATM,Personal preference
6049,38,Female,Eastern Cape,Black African,1640.0,Primary,Unemployed,Remittances,No,Less often,100,None,No bank account
6050,44,Female,Gauteng,Black African,3190.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6051,48,Female,North West,White,13270.0,Secondary,Self-employed,Salary,Yes,Weekly,66,Retail store,Too little money
6052,37,Male,Gauteng,Black African,2040.0,Primary,Unemployed,Remittances,Yes,Less often,58,ATM,Privacy
6053,36,Male,Mpumalanga,Black African,3120.0,Secondary,Self-employed,Grants,No,Less often,100,None,No bank account
6054,47,Male,KwaZulu-Natal,White,86790.0,No formal education,Employed,Salary,Yes,Less often,56,ATM,Privacy
6055,39,Male,KwaZulu-Natal,Black African,480.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
6056,31,Other,Gauteng,Black African,2470.0,Secondary,Self-employed,Salary,Yes,Monthly,78,ATM,Personal preference
6057,18,Male,Free State,Black African,3050.0,Primary,Employed,Salary,Yes,Weekly,68,ATM,Personal preference
6058,25,Male,Western Cape,Black African,21880.0,Tertiary,Employed,Salary,Yes,Less often,85,ATM,Too little money
6059,64,Female,Gauteng,White,8460.0,Secondary,Retired,Pension,Yes,Weekly,70,ATM,Privacy
6060,34,Female,Eastern Cape,Black African,7120.0,Secondary,Employed,Salary,Yes,Monthly,100,ATM,Too little money
6061,27,Female,KwaZulu-Natal,Black African,1610.0,Primary,Unemployed,Grants,Yes,Weekly,80,ATM,Too little money
6062,41,Female,North West,Black African,3860.0,Primary,Employed,Salary,Yes,Daily,80,ATM,Too little money
6063,20,Female,Limpopo,Indian/Asian,1460.0,Primary,Unemployed,Grants,Yes,Weekly,91,ATM,Too little money
6064,25,Male,KwaZulu-Natal,Black African,3540.0,Secondary,Student,Grants,No,Less often,100,None,No bank account
6065,50,Female,Free State,Black African,1900.0,Primary,Unemployed,Grants,Yes,Monthly,100,Retail store,Privacy
6066,24,Female,Limpopo,Black African,3350.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6067,45,Male,KwaZulu-Natal,Black African,4120.0,Primary,Employed,Salary,Yes,Monthly,61,ATM,Personal preference
6068,19,Female,Free State,Black African,4190.0,No formal education,Employed,Salary,Yes,Monthly,80,Retail store,Personal preference
6069,20,Female,KwaZulu-Natal,Coloured,1960.0,No formal education,Unemployed,Grants,Yes,Monthly,91,ATM,Too little money
6070,38,Female,Gauteng,Black African,7040.0,Secondary,Employed,Salary,Yes,Daily,78,Retail store,Privacy
6071,39,Male,Gauteng,Black African,3570.0,Secondary,Employed,Salary,Yes,Less often,81,Retail store,Too little money
6072,62,Male,Gauteng,Black African,4900.0,Primary,Retired,Pension,Yes,Monthly,100,Retail store,To avoid fees
6073,48,Male,Limpopo,Black African,3800.0,Primary,Employed,Salary,Yes,Weekly,84,ATM,Personal preference
6074,36,Female,Gauteng,Coloured,9350.0,Secondary,Employed,Salary,Yes,Weekly,38,ATM,Personal preference
6075,41,Female,Free State,Black African,1340.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
6076,45,Male,Free State,Black African,2440.0,Secondary,Self-employed,Remittances,Yes,Less often,99,ATM,Personal preference
6077,38,Female,Eastern Cape,Black African,2050.0,Primary,Employed,Salary,Yes,Less often,58,ATM,Personal preference
6078,44,Female,Eastern Cape,Black African,11360.0,Secondary,Employed,Salary,Yes,Less often,93,ATM,Too little money
6079,43,Female,Gauteng,Coloured,9810.0,Secondary,Unemployed,Grants,Yes,Less often,35,ATM,Too little money
6080,38,Female,Limpopo,Black African,2470.0,No formal education,Employed,Salary,Yes,Daily,93,ATM,Other
6081,24,Male,Gauteng,Black African,4650.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6082,42,Male,Western Cape,Black African,7590.0,Primary,Employed,Salary,Yes,Monthly,65,ATM,Privacy
6083,30,Female,Free State,Coloured,11690.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6084,30,Female,North West,Black African,3780.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6085,34,Male,KwaZulu-Natal,Black African,3900.0,Primary,Employed,Salary,Yes,Weekly,52,ATM,Too little money
6086,51,Male,KwaZulu-Natal,Black African,1300.0,Primary,Self-employed,Remittances,Yes,Weekly,85,ATM,Too little money
6087,26,Female,KwaZulu-Natal,Black African,1870.0,Secondary,Self-employed,Grants,No,Less often,100,None,No bank account
6088,21,Female,Gauteng,Coloured,4950.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6089,44,Female,Gauteng,Black African,2460.0,Secondary,Self-employed,Salary,Yes,Weekly,87,Bank branch,Personal preference
6090,27,Male,Eastern Cape,Black African,2750.0,Primary,Self-employed,Grants,No,Less often,100,None,No bank account
6091,24,Female,Gauteng,Black African,4140.0,Secondary,Employed,Salary,Yes,Monthly,82,ATM,Too little money
6092,20,Male,Eastern Cape,Black African,4050.0,Secondary,Self-employed,Salary,Yes,Monthly,75,ATM,Too little money
6093,53,Female,KwaZulu-Natal,Coloured,7360.0,Secondary,Self-employed,Other,Yes,Monthly,36,ATM,Too little money
6094,22,Female,Gauteng,Black African,2520.0,Primary,Self-employed,Salary,Yes,Monthly,54,ATM,Other
6095,29,Male,Gauteng,Black African,4960.0,Primary,Self-employed,Salary,Yes,Weekly,80,ATM,Too little money
6096,32,Female,KwaZulu-Natal,Black African,9750.0,Secondary,Employed,Salary,Yes,Monthly,35,ATM,Too little money
6097,18,Male,Gauteng,Black African,4190.0,Secondary,Self-employed,Salary,Yes,Monthly,100,Retail store,Too little money
6098,41,Male,Eastern Cape,Black African,8320.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6099,28,Female,KwaZulu-Natal,Black African,2070.0,Secondary,Employed,Salary,Yes,Weekly,63,ATM,Too little money
6100,56,Male,Gauteng,Black African,4120.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6101,38,Female,Gauteng,Indian/Asian,10300.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6102,39,Female,Gauteng,White,24090.0,Tertiary,Unemployed,Remittances,Yes,Weekly,50,ATM,Too little money
6103,42,Male,Mpumalanga,Black African,9740.0,Tertiary,Employed,Salary,Yes,Monthly,75,ATM,Personal preference
6104,29,Male,Limpopo,Black African,1660.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6105,33,Female,KwaZulu-Natal,Black African,1840.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6106,55,Male,Limpopo,Black African,2930.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6107,49,Male,North West,Black African,3660.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6108,49,Male,Free State,Black African,3220.0,Primary,Employed,Salary,Yes,Weekly,79,ATM,Too little money
6109,31,Female,KwaZulu-Natal,Black African,3520.0,Secondary,Employed,Salary,Yes,Weekly,80,ATM,Personal preference
6110,43,Female,Gauteng,Black African,2260.0,Primary,Retired,Pension,No,Less often,100,None,No bank account
6111,20,Female,North West,Black African,3020.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
6112,31,Female,KwaZulu-Natal,Black African,1140.0,Secondary,Self-employed,Salary,Yes,Monthly,97,ATM,Too little money
6113,41,Female,Limpopo,Black African,4960.0,No formal education,Employed,Salary,Yes,Weekly,75,ATM,Too little money
6114,52,Male,Free State,Black African,19080.0,Tertiary,Self-employed,Remittances,Yes,Weekly,57,Retail store,Personal preference
6115,40,Female,Free State,Black African,4590.0,No formal education,Employed,Salary,Yes,Daily,70,ATM,Too little money
6116,30,Female,KwaZulu-Natal,White,20680.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6117,18,Female,Western Cape,Black African,1800.0,Primary,Self-employed,Salary,Yes,Monthly,67,ATM,Too little money
6118,18,Female,KwaZulu-Natal,Black African,14070.0,Secondary,Unemployed,Grants,Yes,Weekly,75,ATM,Too little money
6119,30,Female,Northern Cape,Black African,3920.0,Primary,Employed,Salary,Yes,Monthly,70,ATM,Personal preference
6120,28,Female,Gauteng,Black African,2030.0,Primary,Student,Salary,Yes,Weekly,78,ATM,Personal preference
6121,39,Male,Gauteng,Black African,13490.0,Tertiary,Employed,Salary,Yes,Monthly,71,ATM,Privacy
6122,29,Male,Mpumalanga,Black African,4050.0,No formal education,Employed,Salary,Yes,Monthly,95,ATM,Too little money
6123,50,Male,Western Cape,White,31220.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6124,37,Female,Gauteng,Black African,6050.0,Secondary,Student,Remittances,Yes,Weekly,27,ATM,Too little money
6125,34,Female,Gauteng,Black African,6730.0,Secondary,Employed,Salary,Yes,Monthly,60,ATM,Personal preference
6126,33,Male,Limpopo,Black African,2540.0,Primary,Unemployed,Grants,Yes,Weekly,83,ATM,Too little money
6127,43,Male,KwaZulu-Natal,Black African,5960.0,Secondary,Employed,Salary,Yes,Monthly,77,Bank branch,Personal preference
6128,41,Female,KwaZulu-Natal,Black African,17120.0,Primary,Unemployed,Other,Yes,Less often,69,ATM,Personal preference
6129,36,Female,Limpopo,Black African,4820.0,Primary,Unemployed,Grants,Yes,Monthly,94,Retail store,Personal preference
6130,53,Female,Eastern Cape,White,17350.0,Secondary,Self-employed,Grants,No,Less often,100,None,No bank account
6131,52,Female,Limpopo,Black African,600.0,Secondary,Unemployed,Other,No,Less often,100,None,No bank account
6132,26,Female,Western Cape,Black African,2890.0,Primary,Unemployed,Grants,Yes,Monthly,89,ATM,Personal preference
6133,46,Female,KwaZulu-Natal,Black African,6460.0,Primary,Employed,Salary,Yes,Weekly,46,Retail store,Personal preference
6134,31,Female,Gauteng,Black African,3030.0,Primary,Employed,Salary,Yes,Less often,72,Retail store,Personal preference
6135,59,Male,Limpopo,Coloured,2750.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
6136,41,Male,Eastern Cape,Coloured,2620.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6137,33,Female,Limpopo,Black African,1660.0,No formal education,Unemployed,Other,No,Less often,100,None,No bank account
6138,66,Female,Limpopo,Black African,3150.0,Secondary,Retired,Grants,No,Less often,100,None,No bank account
6139,58,Female,Eastern Cape,Black African,6330.0,Secondary,Employed,Salary,Yes,Daily,83,ATM,Too little money
6140,45,Male,Mpumalanga,Black African,5120.0,Tertiary,Self-employed,Grants,Yes,Weekly,41,ATM,Too little money
6141,43,Female,KwaZulu-Natal,Black African,6030.0,Primary,Self-employed,Grants,Yes,Monthly,72,ATM,Too little money
6142,52,Female,Gauteng,Black African,4120.0,Secondary,Employed,Salary,Yes,Monthly,67,ATM,Too little money
6143,26,Female,Western Cape,Black African,8120.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6144,19,Female,North West,Black African,3980.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6145,45,Male,Western Cape,White,18640.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6146,18,Male,Eastern Cape,Black African,11330.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6147,29,Female,Gauteng,Black African,7090.0,Secondary,Unemployed,Grants,Yes,Less often,40,Retail store,Personal preference
6148,20,Male,Eastern Cape,Black African,3030.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6149,35,Female,KwaZulu-Natal,Black African,2040.0,Primary,Unemployed,Grants,Yes,Less often,98,ATM,Too little money
6150,34,Male,Gauteng,Black African,6170.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6151,31,Female,Western Cape,Black African,5640.0,Secondary,Employed,Salary,Yes,Weekly,62,ATM,Too little money
6152,18,Male,Gauteng,Black African,5050.0,Secondary,Self-employed,Salary,Yes,Weekly,48,ATM,Too little money
6153,32,Female,North West,Black African,1050.0,Secondary,Unemployed,Grants,Yes,Monthly,62,Bank branch,Too little money
6154,23,Female,Western Cape,Black African,17510.0,Tertiary,Self-employed,Salary,Yes,Daily,47,ATM,Other
6155,38,Female,Gauteng,Black African,11070.0,Secondary,Employed,Salary,Yes,Weekly,32,ATM,Privacy
6156,35,Female,Free State,Black African,2950.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
6157,30,Female,Western Cape,Black African,8030.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6158,29,Male,Limpopo,Black African,1880.0,Primary,Employed,Salary,Yes,Weekly,90,ATM,Other
6159,28,Male,Western Cape,Black African,3730.0,Secondary,Employed,Salary,Yes,Monthly,96,ATM,Personal preference
6160,24,Female,Limpopo,Black African,2640.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6161,36,Female,Western Cape,Black African,12090.0,Tertiary,Unemployed,Other,Yes,Daily,58,ATM,Too little money
6162,32,Female,Gauteng,Black African,5280.0,Primary,Retired,Grants,No,Less often,100,None,No bank account
6163,36,Female,Limpopo,Black African,2070.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6164,28,Female,Gauteng,Black African,15310.0,Tertiary,Unemployed,Remittances,Yes,Weekly,41,ATM,Too little money
6165,30,Male,North West,Black African,3680.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6166,30,Male,KwaZulu-Natal,Coloured,22360.0,Secondary,Employed,Salary,Yes,Monthly,23,ATM,Personal preference
6167,28,Male,Mpumalanga,Black African,18520.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6168,58,Female,Limpopo,Black African,1760.0,Secondary,Self-employed,Salary,Yes,Monthly,86,ATM,Too little money
6169,34,Female,KwaZulu-Natal,Black African,3180.0,Secondary,Employed,Salary,Yes,Monthly,80,ATM,Too little money
6170,18,Male,Gauteng,White,21400.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6171,20,Male,Gauteng,Black African,3450.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6172,20,Male,Gauteng,White,139570.0,Secondary,Employed,Salary,Yes,Less often,49,ATM,To avoid fees
6173,37,Female,KwaZulu-Natal,Black African,4160.0,Secondary,Employed,Salary,Yes,Daily,84,ATM,Too little money
6174,31,Male,Eastern Cape,Black African,3700.0,Primary,Employed,Salary,Yes,Daily,100,ATM,Too little money
6175,44,Male,Free State,Black African,3910.0,Primary,Unemployed,Remittances,Yes,Daily,96,ATM,To avoid fees
6176,35,Female,Limpopo,Coloured,750.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6177,18,Female,Eastern Cape,Black African,6470.0,Secondary,Employed,Salary,Yes,Weekly,61,ATM,Privacy
6178,40,Female,KwaZulu-Natal,Black African,4740.0,Primary,Employed,Salary,Yes,Weekly,84,ATM,Personal preference
6179,27,Female,Eastern Cape,Black African,7540.0,Primary,Employed,Salary,Yes,Monthly,65,Retail store,Too little money
6180,34,Male,KwaZulu-Natal,White,7870.0,Primary,Self-employed,Other,No,Less often,100,None,No bank account
6181,33,Female,Eastern Cape,Black African,1540.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
6182,18,Female,Eastern Cape,Black African,1390.0,Primary,Unemployed,Remittances,Yes,Monthly,97,ATM,Personal preference
6183,32,Female,KwaZulu-Natal,Black African,4240.0,Primary,Student,Grants,No,Less often,100,None,No bank account
6184,39,Female,Western Cape,Black African,13480.0,Secondary,Employed,Salary,Yes,Monthly,58,Retail store,Too little money
6185,45,Female,Eastern Cape,Black African,19450.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6186,42,Male,Western Cape,Black African,12830.0,Primary,Self-employed,Remittances,No,Less often,100,None,No bank account
6187,61,Male,Limpopo,Black African,1810.0,Primary,Retired,Pension,Yes,Monthly,65,Retail store,Personal preference
6188,29,Male,Gauteng,Black African,1820.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6189,27,Male,Mpumalanga,White,5130.0,Tertiary,Employed,Salary,Yes,Weekly,44,ATM,Too little money
6190,46,Female,Northern Cape,Black African,2210.0,Secondary,Unemployed,Grants,Yes,Monthly,87,ATM,Personal preference
6191,44,Male,Eastern Cape,Black African,1800.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6192,20,Male,Gauteng,Black African,8030.0,Primary,Employed,Salary,Yes,Monthly,51,Retail store,Too little money
6193,40,Female,Gauteng,Black African,6410.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6194,20,Male,Western Cape,Black African,13400.0,Primary,Employed,Salary,Yes,Monthly,50,Retail store,Too little money
6195,33,Female,KwaZulu-Natal,Coloured,26210.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6196,45,Female,Western Cape,Black African,6200.0,Primary,Employed,Salary,Yes,Monthly,37,ATM,Personal preference
6197,39,Male,KwaZulu-Natal,Coloured,4140.0,Primary,Employed,Salary,Yes,Weekly,93,ATM,Too little money
6198,18,Female,Eastern Cape,Black African,1140.0,Tertiary,Self-employed,Other,No,Less often,100,None,No bank account
6199,27,Male,Gauteng,Black African,16860.0,Tertiary,Employed,Salary,Yes,Less often,38,ATM,Personal preference
6200,24,Female,Eastern Cape,Black African,1980.0,Primary,Employed,Salary,Yes,Monthly,61,Bank branch,To avoid fees
6201,50,Female,Eastern Cape,Black African,2190.0,Primary,Self-employed,Other,Yes,Weekly,84,ATM,Privacy
6202,50,Female,KwaZulu-Natal,Black African,4700.0,Secondary,Employed,Salary,Yes,Monthly,100,ATM,Personal preference
6203,44,Female,KwaZulu-Natal,Black African,2940.0,Primary,Unemployed,Grants,Yes,Weekly,85,ATM,Personal preference
6204,37,Male,North West,Black African,750.0,Primary,Unemployed,Grants,Yes,Less often,89,Retail store,Too little money
6205,54,Male,Western Cape,Black African,12070.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6206,18,Female,Mpumalanga,Black African,4890.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6207,40,Female,North West,Black African,2890.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
6208,51,Male,Western Cape,White,47450.0,Tertiary,Self-employed,Salary,No,Less often,100,None,No bank account
6209,32,Male,KwaZulu-Natal,Black African,1670.0,Primary,Employed,Salary,Yes,Monthly,80,ATM,Privacy
6210,21,Male,Mpumalanga,Coloured,2880.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6211,38,Male,North West,Black African,12760.0,Secondary,Self-employed,Other,Yes,Weekly,39,ATM,Personal preference
6212,35,Female,Northern Cape,Black African,2480.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
6213,18,Male,KwaZulu-Natal,Black African,2120.0,No formal education,Unemployed,Grants,Yes,Less often,74,ATM,Personal preference
6214,43,Male,Gauteng,Coloured,9230.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6215,34,Male,Gauteng,Black African,17290.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
6216,22,Female,Western Cape,Black African,6690.0,Secondary,Employed,Salary,Yes,Less often,37,ATM,Personal preference
6217,39,Male,Eastern Cape,Black African,4590.0,No formal education,Employed,Salary,Yes,Weekly,100,Retail store,Too little money
6218,45,Female,Gauteng,Black African,7090.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6219,24,Male,North West,White,5140.0,Secondary,Employed,Salary,Yes,Weekly,60,ATM,Too little money
6220,27,Male,North West,Black African,1960.0,Secondary,Self-employed,Salary,Yes,Weekly,71,ATM,Too little money
6221,18,Male,Gauteng,Black African,5230.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6222,28,Male,Western Cape,Black African,2420.0,Primary,Employed,Salary,Yes,Monthly,86,ATM,Personal preference
6223,31,Female,KwaZulu-Natal,Black African,850.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6224,45,Male,Mpumalanga,Black African,7990.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6225,41,Female,KwaZulu-Natal,Black African,7890.0,Secondary,Employed,Salary,Yes,Monthly,65,ATM,To avoid fees
6226,33,Male,KwaZulu-Natal,Black African,1410.0,Primary,Unemployed,Grants,Yes,Less often,68,ATM,Too little money
6227,21,Female,KwaZulu-Natal,Black African,11090.0,Secondary,Self-employed,Salary,Yes,Monthly,53,ATM,Too little money
6228,23,Male,KwaZulu-Natal,Coloured,8370.0,Secondary,Employed,Salary,Yes,Monthly,23,ATM,Personal preference
6229,33,Male,Gauteng,Black African,1950.0,Primary,Self-employed,Remittances,No,Less often,100,None,No bank account
6230,28,Female,Gauteng,Black African,2960.0,Secondary,Self-employed,Remittances,Yes,Less often,94,ATM,Privacy
6231,53,Male,Western Cape,Black African,17280.0,Tertiary,Employed,Salary,Yes,Monthly,84,ATM,Too little money
6232,35,Female,Gauteng,Black African,4750.0,No formal education,Employed,Salary,Yes,Less often,81,Bank branch,Too little money
6233,23,Female,KwaZulu-Natal,Black African,3000.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6234,20,Male,Eastern Cape,White,26190.0,Tertiary,Unemployed,Grants,No,Less often,100,None,No bank account
6235,40,Male,Mpumalanga,Coloured,9500.0,Secondary,Unemployed,Other,No,Less often,100,None,No bank account
6236,32,Female,Northern Cape,Black African,13250.0,Secondary,Employed,Salary,Yes,Weekly,72,Retail store,Personal preference
6237,35,Female,Mpumalanga,Black African,6920.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6238,47,Female,Mpumalanga,Black African,5500.0,Tertiary,Unemployed,Other,No,Less often,100,None,No bank account
6239,31,Female,Western Cape,White,49350.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6240,38,Male,Gauteng,Black African,8950.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6241,48,Female,KwaZulu-Natal,Black African,710.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
6242,38,Male,Mpumalanga,Coloured,2800.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
6243,26,Male,Gauteng,Black African,1960.0,Primary,Unemployed,Remittances,Yes,Less often,89,ATM,Other
6244,18,Female,Gauteng,Black African,2930.0,Primary,Unemployed,Remittances,No,Less often,100,None,No bank account
6245,42,Female,Gauteng,Black African,2650.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
6246,29,Female,Free State,Black African,1350.0,Primary,Unemployed,Grants,Yes,Weekly,94,ATM,Other
6247,54,Male,KwaZulu-Natal,Black African,2160.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
6248,33,Female,KwaZulu-Natal,Black African,810.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
6249,34,Male,Limpopo,Black African,4440.0,Secondary,Student,Other,Yes,Weekly,94,ATM,Personal preference
6250,37,Female,North West,Black African,3070.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
6251,35,Female,Gauteng,Black African,13710.0,Tertiary,Employed,Salary,Yes,Less often,35,ATM,Too little money
6252,33,Male,Western Cape,White,14990.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6253,21,Female,Eastern Cape,Black African,1610.0,Secondary,Unemployed,Grants,Yes,Weekly,92,ATM,To avoid fees
6254,28,Female,KwaZulu-Natal,Black African,1480.0,Primary,Unemployed,Grants,Yes,Less often,87,ATM,Too little money
6255,38,Female,Gauteng,Black African,10760.0,Tertiary,Employed,Salary,Yes,Monthly,41,ATM,Personal preference
6256,20,Female,KwaZulu-Natal,Black African,1710.0,Primary,Unemployed,Remittances,Yes,Weekly,62,Retail store,Other
6257,31,Male,Western Cape,Black African,6330.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
6258,53,Male,Free State,Black African,10980.0,Secondary,Retired,Grants,Yes,Less often,42,ATM,To avoid fees
